x,y,color
2153,41,#ff0000
2154,43,#7feb00
2156,45,#7feb00
2157,48,#7feb00
2158,50,#006300
2159,52,#7feb00
2159,55,#7feb00
2160,57,#006300
2161,60,#006300
2161,62,#7feb00
2162,65,#7feb00
2162,68,#7feb00
2163,70,#7feb00
2164,73,#7feb00
2166,77,#7feb00
2167,80,#7feb00
2169,83,#7feb00
2171,86,#7feb00
2173,90,#7feb00
2176,93,#7feb00
2178,96,#7feb00
2180,99,#7feb00
2182,103,#7feb00
2184,106,#7feb00
2185,110,#006300
2186,114,#7feb00
2188,118,#7feb00
2189,122,#7feb00
2190,126,#7feb00
2191,130,#7feb00
2191,134,#7feb00
2192,138,#7feb00
2192,142,#7feb00
2193,146,#7feb00
2193,151,#7feb00
2193,155,#7feb00
2193,159,#7feb00
2193,164,#7feb00
2194,168,#7feb00
2194,172,#7feb00
2194,177,#7feb00
2194,182,#7feb00
2194,187,#7feb00
2194,192,#7feb00
2194,197,#7feb00
2194,201,#7feb00
2194,206,#7feb00
2194,211,#7feb00
2194,216,#7feb00
2194,221,#7feb00
2193,226,#7feb00
2193,231,#7feb00
2193,236,#7feb00
2193,241,#7feb00
2193,246,#7feb00
2193,251,#7feb00
2193,256,#7feb00
2193,262,#7feb00
2193,267,#7feb00
2193,273,#7feb00
2193,278,#7feb00
2193,284,#7feb00
2193,289,#7feb00
2192,295,#7feb00
2192,300,#7feb00
2192,306,#7feb00
2192,312,#7feb00
2192,317,#7feb00
2192,323,#7feb00
2192,328,#7feb00
2192,334,#7feb00
2192,340,#7feb00
2192,345,#7feb00
2192,351,#7feb00
2192,357,#7feb00
2192,362,#7feb00
2191,368,#7feb00
2191,374,#7feb00
2191,379,#7feb00
2190,385,#7feb00
2191,391,#7feb00
2191,396,#7feb00
2191,402,#7feb00
2191,408,#7feb00
2191,414,#7feb00
2150,40,#ff0000
2190,420,#7feb00
2190,426,#7feb00
2190,432,#7feb00
2190,438,#7feb00
2190,444,#7feb00
2190,449,#7feb00
2190,455,#7feb00
2190,462,#7feb00
2190,468,#7feb00
2190,474,#7feb00
2190,481,#7feb00
2189,487,#7feb00
2189,493,#7feb00
2189,499,#7feb00
2189,505,#7feb00
2188,511,#7feb00
2188,517,#7feb00
2188,523,#7feb00
2188,529,#ff0000
